,Question,Answer,t_dense,t_hybrid,ans_dense,ans_hybrid,src_dense,src_hybrid,s0,s1,quality0,quality1
10,What is the purpose of the dual-store ingestion design?,It maintains a vector index for semantic retrieval and a relational table for numerical analysis.,2.946,1.817,"The purpose of the dual-store ingestion design is to maintain two types of data storage: a vector index for semantic retrieval and a relational metrics table for numeric/spec fields extracted from documents. This allows queries to ground prose and verify numeric/spec constraints in the same loop, facilitating both semantic retrieval and quantitative analysis [source: data\RA_FSM_Paper 2.pdf].",The context does not provide information about the purpose of the dual-store ingestion design. I don't know.,data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf,data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf,0,0,0.31435071847522844,0.0
11,Which service is used for PDF parsing?,A self-hosted GROBID service that converts PDFs into TEI-XML.,1.998,3.112,The service used for PDF parsing is GROBID [source: data\RA_FSM_Paper 2.pdf].,"A self-hosted GROBID service is used for PDF parsing, which returns full-text TEI-XML [source:1].",data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf,data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf,0,0,0.09349477497536716,0.3171074665802709
12,What happens if a document fails parsing?,It is routed to a 'Needs-Manual-Fix' state and added to the Missing-List.,2.985,2.198,"If a document fails parsing, such as in the case of a malformed PDF or a GROBID exception, it is routed to a ""Needs-Manual-Fix"" state. Additionally, both pay-walled and parse-failed papers are consolidated into a Missing-List [source:RA_FSM_Paper 2].","If a document fails parsing, it is routed to a Needs-Manual-Fix state. Additionally, pay-walled and parse-failed papers are consolidated into the Missing-List [source:RA_FSM_Paper 2].",data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf,data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf,0,0,0.39639785951651346,0.4890250399868066
13,What is the benefit of a closed-world citation policy?,It ensures that all cited sources are verifiable and part of the session evidence.,2.613,2.832,"The benefit of a closed-world citation policy is that it ensures the final answer may only cite evidence that is verified and present in the session evidence table. This approach enhances citation fidelity by grounding answers in verifiable sources, which helps to reduce the risk of fabrication and improves the overall reliability of the information provided [source: data\RA_FSM_Paper 2.pdf].","The benefit of a closed-world citation policy is that it ensures the final answer can only cite (doc id, span id) pairs that are present in the session evidence table. This approach enhances the reliability and accountability of the citations, as it restricts references to verified evidence that has been retrieved during the session, thereby reducing the risk of citing unverified or irrelevant sources [source: data\RA_FSM_Paper 2.pdf].",data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf,data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf,0,0,0.38232520895413175,0.40994501475757983
14,What metric measures fabricated references?,The fabricated-reference rate.,1.905,1.67,"The metric that measures fabricated references is the fabrication rate. This metric is part of the evaluation of the RA–FSM system, which includes statistics on citations and their fidelity [source: data\RA_FSM_Paper 2.pdf].","The metric that measures fabricated references is citation fidelity, which includes aspects such as fabrication, DOI-match, and claim coverage [source:2].",data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf,data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf,0,0,0.2914869288936462,0.13039972000812775
15,What is the purpose of the Confidence JSON schema?,It enforces structured outputs with defined confidence scores between 0 and 1.,1.961,2.577,"{
""confidence_score"": 0.25,
""confident"": false,
""reasoning"": ""The purpose is to assess answer confidence using a strict format.""
}","The purpose of the Confidence JSON schema is to assess whether the system can answer the user's question using its knowledge and the provided context. It outputs structured JSON with specific keys, including a confidence score and a boolean indicating if the score meets a certain threshold for confidence. This structured output helps in evaluating the system's confidence in its responses [source: data\RA_FSM_Paper 2.pdf].",data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf,data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf,0,0,0.043109987479869535,0.1943423686028279
16,What retrieval technique does RA–FSM use?,A FAISS HNSW vector index for text embeddings.,1.923,1.957,"RA–FSM uses a vector retrieval technique as part of its modular design, which is grounded in a deterministic citation pipeline [source: data\RA_FSM_Paper 2.pdf].","RA–FSM uses a confidence-driven retrieval technique that helps with focused prompts but can be stressed by broader, multi-source reasoning tasks [source: data\RA_FSM_Paper 2.pdf].",data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf,data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf,0,0,0.04183532815857974,0.0
17,What database supports numerical queries?,A PostgreSQL relational table that stores normalized metrics keyed by DOI and date.,2.186,1.355,"The PostgreSQL relational store supports numerical queries, as it is used to upsert normalized metrics into a table keyed by DOI and publication date, enabling SQL-driven analyses [source: data\RA_FSM_Paper 2.pdf].",I don't know.,data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf,data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf,0,1,0.3731427029715016,0.0
18,What language models are used in the FSM?,"GPT-4o-mini for Relevance, o4-mini for Confidence, and o3 for Knowledge.",1.713,3.218,The language models used in the FSM are gpt-4o-mini and o4-mini [source:RA_FSM_Paper].,"The FSM (Finite-State Machine) framework uses multiple large language models (LLMs), specifically:

1. GPT 4o for Relevance: Evaluates whether the user question aligns with the research objectives.
2. GPT o4-mini for Confidence: Determines whether the agent has sufficient internal knowledge to answer the question with high certainty.
3. GPT o3 for Knowledge: Identifies knowledge gaps by formulating clarifying sub-questions and executing web searches to retrieve and contextualize external information. [source: data\RA_FSM_Paper 2.pdf]",data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf,data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf,0,0,0.24482254447427354,0.367646733229575
19,What ensures bounded iteration during reasoning?,A retry cap of five iterations.,2.277,2.556,"The structured control loop governed by the finite-state machine (FSM) ensures bounded iteration during reasoning. This loop includes transitions between checking question relevance, estimating confidence, decomposing the query, retrieving external information, answering, and optionally persisting the session state, which helps reduce hallucination risk and increases transparency in multi-turn question processing [source:RA_FSM_Paper 2].",The bounded iteration during reasoning is ensured by a retry loop that allows for a maximum of five attempts. This loop ensures termination while still allowing multiple verification passes to verify subtopic coverage before proceeding to the answer state [source: data\RA_FSM_Paper 2.pdf].,data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf,data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf,0,0,0.0,0.1200032342253248
20,How does RA–FSM prevent hallucinations?,By grounding responses in retrieved evidence and enforcing deterministic citations.,2.285,3.177,"RA–FSM prevents hallucinations by wrapping generation in a finite-state control loop that includes Relevance, Confidence, and Knowledge. This modular approach filters out-of-scope queries, scores answerability, decomposes questions, and triggers retrieval only when necessary. Additionally, it employs a deterministic citation pipeline that improves citation fidelity and calibration, which helps ensure the accuracy of the information provided [source:RA_FSM_Paper].","RA–FSM mitigates hallucinations through several strategies: it employs finite-state control, which provides a structured approach to information retrieval, and utilizes deterministic citations to ensure that sources are accurately referenced. Additionally, it incorporates auto-abstain thresholds tuned for target expected calibration error (ECE) and uses red-team prompts to target misleading citations and near-miss evidence. This combination of techniques helps to enhance the reliability of the information provided and reduces the likelihood of generating false or misleading content [source: data\RA_FSM_Paper 2.pdf].",data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf,data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf,0,0,0.13092094740394947,0.13153288266300533
21,What is the Confidence threshold for answering?,A confidence score of 0.75 or higher.,1.494,1.773,I don't know.,The Confidence threshold for answering is set at 0.5 [source: data\RA_FSM_Paper 2.pdf].,data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf,data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf,1,0,0.0,0.06360120575671213
22,What is 'self-evaluation' in the FSM?,The process of scoring answerability and revising responses until confidence is sufficient.,3.639,2.59,"In the FSM, 'self-evaluation' refers to a state where the system assesses its confidence in the answers it generates for each subtopic. It provides a per-subtopic confidence score using discrete values (0, 0.25, 0.5, 0.75, 1) and decides whether to search online for additional information or to proceed with composing the final answer. This process helps ensure that the answers are more reliable and accurately reflect the system's confidence in them [source: data\RA_FSM_Paper 2.pdf].","In the FSM, 'self-evaluation' refers to the process where a Confidence judge assigns a self-evaluation label to determine whether the system should decompose the query further or proceed with answering it. This mechanism helps the system assess the relevance and confidence in its ability to respond to the user's query effectively [source: data\RA_FSM_Paper 2.pdf].",data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf,data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf,0,0,0.18521446223383176,0.18155531642828418
23,What are the six evaluation categories?,"Analytical reasoning, numerical analysis, methodological critique, comparative synthesis, factual extraction, and application design.",1.376,2.311,I don't know.,"The six evaluation categories are analytical reasoning, numerical analysis, methodological critique, comparative synthesis, factual extraction, and application design [source: data\RA_FSM_Paper 2.pdf].",data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf,data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf,1,0,0.0,0.6499075053256318
24,What average latency was observed?,54.6 seconds per query.,1.848,2.018,The average latency observed was 54.6 seconds [source: data\RA_FSM_Paper 2.pdf].,"The average latency observed was 54.6 seconds, with a 90th percentile latency of 78.6 seconds [source: data\RA_FSM_Paper 2.pdf].",data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf,data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf,0,0,0.18435554192630063,0.1979947958252089
25,What is the mean cost per query?,$0.017.,1.511,1.558,The mean cost per query is $0.017 [source: data\RA_FSM_Paper 2.pdf].,The mean cost per query is $0.017 [source: data\RA_FSM_Paper 2.pdf].,data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf,data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf,0,0,0.21951095080860833,0.21951095080860833
26,What is citation F1 achieved by RA–FSM?,0.523 overall and 0.562 on confident answers.,1.277,2.102,I don't know.,The mean semantic F1 achieved by RA–FSM is 0.523 overall and 0.562 on answered items [source: data\RA_FSM_Paper 2.pdf].,data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf,data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf,1,0,0.0,0.283998621816288
27,How many retries are allowed per question?,Up to five unsuccessful attempts before aborting.,2.425,1.509,The system allows up to five retries per question if it does not reach high confidence in the answer [source: data\RA_FSM_Paper 2.pdf].,I don't know.,data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf,data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf,0,1,0.1333074799417325,0.0
28,How does RA–FSM compare to baseline models?,It outperforms ungated fast drafts and vanilla GPT models in correctness and citation fidelity.,3.945,3.82,"RA–FSM demonstrates several advantages over baseline models, particularly in terms of handling boundary conditions and providing more defensible evidence use. It explores beyond the capabilities of a strong Notebook LM (NLM) while incurring tunable latency and cost overheads. The design of RA–FSM emphasizes transparent and auditable answers, making it suitable for high-stakes technical work. However, it introduces additional latency and cost compared to a vanilla, single-pass assistant due to features like confidence checks and targeted retrieval, which are tunable based on retrieval depth and reasoning level [source: data\RA_FSM_Paper 2.pdf].","RA–FSM shows improved performance compared to baseline models like the Notebook LM (NLM) and a vanilla single-pass baseline. It has the smallest coverage gaps for short factual prompts, indicating better retrieval for focused queries, while it struggles more with longer, multi-document critiques. The novelty rate of RA–FSM is high, suggesting it generates many unique items not produced by the NLM, thanks to its decomposition and targeted retrieval approach. Additionally, domain experts prefer RA–FSM in blinded A/B reviews, highlighting its advantages in citation fidelity, calibration, and cost discipline for scientific assistance [source: data\RA_FSM_Paper 2.pdf].",data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf,data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf,0,0,0.2335815503329626,0.19423648892789153
29,What is ECE in calibration metrics?,"Expected Calibration Error, measuring the accuracy of confidence estimates.",2.793,2.82,"ECE stands for Expected Calibration Error. It is a metric used to evaluate the calibration of confidence scores in machine learning models, indicating how well the predicted probabilities align with the actual outcomes. A lower ECE value suggests better calibration, meaning the model's confidence in its predictions is more reliable [source: data\RA_FSM_Paper 2.pdf].","ECE stands for Expected Calibration Error, which is a metric used to evaluate the calibration of probabilistic predictions. It measures the difference between predicted probabilities and the actual outcomes, with lower values indicating better calibration. In the context provided, the raw scores had an ECE of 0.325, which was improved to 0.164 after applying isotonic regression, indicating a reduction in calibration error [source: data\RA_FSM_Paper 2.pdf].",data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf,data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf,0,0,0.31348684427530915,0.3002514964154769
30,How did isotonic regression affect ECE?,It reduced ECE from 0.325 to 0.164.,1.883,1.911,"Isotonic regression halved the calibration error, reducing the Expected Calibration Error (ECE) from 0.325 to 0.164 [source: data\RA_FSM_Paper 2.pdf].","Isotonic regression halved the calibration error, reducing the Expected Calibration Error (ECE) from 0.325 to 0.164 [source:RA_FSM_Paper].",data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf,data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf,0,0,0.2451320402090851,0.25626422545898403
31,What does 'AURC' measure?,"Area Under the Risk Curve, related to confidence calibration.",2.142,1.468,"AURC measures the ranking quality of the answers provided by the system. It is a metric used to evaluate how well the system ranks its confidence in the answers it generates, with lower values indicating better ranking quality [source: data\RA_FSM_Paper 2.pdf].",I don't know.,data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf,data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf,0,1,0.17018291078830666,0.0
32,What is the average input token count?,"About 9,304 tokens per query.",1.574,2.363,The average input token count is 9.3k tokens [source: data\RA_FSM_Paper 2.pdf].,The average input token count is 9.3k tokens [source: data\RA_FSM_Paper 2.pdf].,data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf,data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf,0,0,0.07030492086459503,0.07030492086459503
33,What is the FSM’s average output token count?,"About 2,264 tokens per query.",1.514,1.795,The FSM's average output token count is 2.3k tokens [source: data\RA_FSM_Paper 2.pdf].,The FSM's average output token count is 2.3k tokens [source: data\RA_FSM_Paper 2.pdf].,data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf,data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf,0,0,0.06743557494279505,0.06743557494279505
34,What is the 'Seed → Snowball → Saturate' heuristic?,It broadens coverage by following citation links until most new DOIs are already known.,3.862,3.354,"The 'Seed → Snowball → Saturate' heuristic is a method used to broaden coverage in literature searches. It starts from seed papers and follows backward citations and forward ""Cited-by"" links. The process continues until approximately 90% of newly encountered DOIs (Digital Object Identifiers) are already present in the search results, at which point that sub-search is considered saturated [source:RA_FSM_Paper 2].","The 'Seed → Snowball → Saturate' heuristic is a method used to broaden coverage in literature searches. It starts from seed papers and follows backward citations and forward ""Cited-by"" links until approximately 90% of newly encountered DOIs are already present. At that point, the sub-search is considered saturated, meaning no significant new information is expected to be found [source: data\RA_FSM_Paper 2.pdf].",data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf,data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf,0,0,0.1515604786019473,0.17546571740629982
