Question,Answer,t_dense,t_hybrid,ans_dense,ans_hybrid,src_dense,src_hybrid
What is the purpose of the dual-store ingestion design?,It maintains a vector index for semantic retrieval and a relational table for numerical analysis.,4.213,3.707,"The purpose of the dual-store ingestion design is to maintain two types of data storage: a vector index for semantic retrieval and a relational metrics table for numeric/spec fields extracted from documents. This allows queries to ground prose and verify numeric/spec constraints in the same loop, facilitating both semantic retrieval and quantitative analysis [source: data\RA_FSM_Paper 2.pdf].","The purpose of the dual-store ingestion design is to manage the ingestion cadence and ensure that the finite-state machine (FSM) transitions from an Idle state to a Crawl Sources state, executing the full pipeline to make new papers searchable while capping resource consumption and providing deterministic latency. This design allows for efficient retrieval and integration of new information into the system, enhancing the assistant's ability to respond to user queries with up-to-date knowledge [source: data\RA_FSM_Paper 2.pdf].",data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf,data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf
Which service is used for PDF parsing?,A self-hosted GROBID service that converts PDFs into TEI-XML.,2.16,2.091,The service used for PDF parsing is GROBID [source: data\RA_FSM_Paper 2.pdf].,The service used for PDF parsing is GROBID [source:RA_FSM_Paper 2].,data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf,data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf
What happens if a document fails parsing?,It is routed to a 'Needs-Manual-Fix' state and added to the Missing-List.,2.394,3.214,"If a document fails parsing, such as due to a malformed PDF or a GROBID exception, it is routed to a Needs-Manual-Fix state. Additionally, pay-walled and parse-failed papers are consolidated into a Missing-List [source:RA_FSM_Paper 2].","If a document fails parsing, such as due to a malformed PDF or a GROBID exception, it is routed to a ""Needs-Manual-Fix"" state. Additionally, both pay-walled and parse-failed papers are consolidated into a ""Missing-List"" [source:RA_FSM_Paper 2].",data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf,data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf
What is the benefit of a closed-world citation policy?,It ensures that all cited sources are verifiable and part of the session evidence.,3.059,4.191,"The benefit of a closed-world citation policy is that it ensures the final answer may only cite evidence that is verified and present in the session evidence table. This approach enhances citation fidelity by grounding answers in verifiable sources, which helps to reduce the risk of fabrication and improves the overall reliability of the information provided [source: data\RA_FSM_Paper 2.pdf].","The benefit of a closed-world citation policy is that it ensures the final answer can only cite (doc id, span id) pairs that are present in the session evidence table. This approach enhances citation fidelity by preventing the inclusion of unverified or irrelevant sources, thereby improving the reliability and trustworthiness of the information provided. It also allows for the creation of a claim → evidence table for audit purposes, ensuring accountability in the citation process [source: data\RA_FSM_Paper 2.pdf].",data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf,data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf
What metric measures fabricated references?,The fabricated-reference rate.,2.119,2.168,"The metric that measures fabricated references is the fabrication rate. This metric is part of the evaluation of the RA–FSM system, which includes statistics on citations and their fidelity [source: data\RA_FSM_Paper 2.pdf].","The metric that measures fabricated references is citation fidelity, which includes analysis of fabrication, DOI-match, and claim coverage [source: data\RA_FSM_Paper 2.pdf].",data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf,data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf
What is the purpose of the Confidence JSON schema?,It enforces structured outputs with defined confidence scores between 0 and 1.,2.052,3.605,"{
""confidence_score"": 0.0,
""confident"": false,
""reasoning"": ""The context does not provide information about the purpose of the Confidence JSON schema.""
}","The purpose of the Confidence JSON schema is to assess whether the system can answer the user's question using its knowledge and the provided context. It outputs structured JSON with a confidence score and indicates whether the system is confident in its ability to answer the question. The schema includes fields for the confidence score, a binary confidence flag, and reasoning for the assessment [source:RA_FSM_Paper 2.pdf].",data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf,data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf
What retrieval technique does RA–FSM use?,A FAISS HNSW vector index for text embeddings.,1.931,2.844,"RA–FSM uses a vector retrieval technique as part of its modular design, which is grounded in a deterministic citation pipeline [source: data\RA_FSM_Paper 2.pdf].","RA–FSM uses a vector retrieval technique grounded in a deterministic citation pipeline. This approach is part of its modular design that includes a finite-state control loop for relevance, confidence, and knowledge [source: data\RA_FSM_Paper 2.pdf].",data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf,data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf
What database supports numerical queries?,A PostgreSQL relational table that stores normalized metrics keyed by DOI and date.,2.13,1.878,"The PostgreSQL relational store supports numerical queries, as it is used to upsert normalized metrics into a table keyed by DOI and publication date, enabling SQL-driven analyses [source: data\RA_FSM_Paper 2.pdf].",I don't know.,data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf,data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf
What language models are used in the FSM?,"GPT-4o-mini for Relevance, o4-mini for Confidence, and o3 for Knowledge.",1.956,2.928,The language models used in the FSM are gpt-4o-mini and o4-mini [source:RA_FSM_Paper].,"The language models used in the finite-state machine (FSM) are GPT 4o, GPT o4-mini, and GPT o3. Each model is responsible for a specific cognitive function: GPT 4o evaluates relevance, GPT o4-mini determines confidence, and GPT o3 identifies knowledge gaps and retrieves external information [source:data\RA_FSM_Paper 2.pdf].",data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf,data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf
What ensures bounded iteration during reasoning?,A retry cap of five iterations.,2.48,1.843,"The structured control loop governed by the finite-state machine (FSM) ensures bounded iteration during reasoning. This loop includes transitions between checking question relevance, estimating confidence, decomposing the query, retrieving external information, answering, and optionally persisting the session state, which helps reduce hallucination risk and increases transparency in multi-turn question processing [source:RA_FSM_Paper 2].",The bounded iteration during reasoning is ensured by a retry loop that allows for a maximum of five attempts to verify subtopic coverage before the system terminates the process. This mechanism ensures that the agent can make multiple verification passes while still having a limit on the number of iterations it can perform [source:RA_FSM_Paper 2].,data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf,data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf
How does RA–FSM prevent hallucinations?,By grounding responses in retrieved evidence and enforcing deterministic citations.,3.352,4.027,"RA–FSM prevents hallucinations by wrapping generation in a finite-state control loop that includes three key components: Relevance, Confidence, and Knowledge. This modular approach filters out-of-scope queries, scores answerability, decomposes questions, and triggers retrieval only when necessary. Additionally, it employs a deterministic citation pipeline that improves citation fidelity and calibration, which helps ensure the accuracy of the information provided [source:RA_FSM_Paper].","RA–FSM mitigates hallucinations through several strategies: it employs finite-state control, which provides a structured approach to information retrieval and response generation. Additionally, it uses deterministic citations to ensure that sources are accurately referenced, reducing the likelihood of generating false information. The system also incorporates auto-abstain thresholds tuned for target expected calibration error (ECE), which helps it refrain from providing answers when confidence is low. Furthermore, it logs evidence IDs, thresholds, and budgets per query to enable auditing and improve accountability in the responses provided [source: data\RA_FSM_Paper 2.pdf].",data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf,data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf
What is the Confidence threshold for answering?,A confidence score of 0.75 or higher.,1.274,2.798,I don't know.,The Confidence threshold for answering is set at 0.5 [source:6].,data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf,data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf
What is 'self-evaluation' in the FSM?,The process of scoring answerability and revising responses until confidence is sufficient.,3.394,2.502,"In the FSM, 'self-evaluation' refers to a state where the system assesses its confidence in the answers it generates for each subtopic. It provides a per-subtopic confidence score using discrete values (0, 0.25, 0.5, 0.75, 1) and decides whether to search online for additional information or to proceed with composing the final answer. This process helps ensure that the answers are more reliable and accurately reflect the system's confidence in them [source: data\RA_FSM_Paper 2.pdf].","In the FSM, 'self-evaluation' refers to the process where a Confidence judge assigns a self-evaluation label to determine whether the system should decompose the query further or proceed with answering it. This mechanism helps the system assess its confidence in handling the query before generating a response [source:RA_FSM_Paper 2].",data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf,data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf
What are the six evaluation categories?,"Analytical reasoning, numerical analysis, methodological critique, comparative synthesis, factual extraction, and application design.",2.295,2.262,I don't know.,"The six evaluation categories are analytical reasoning, numerical analysis, methodological critique, comparative synthesis, factual extraction, and application design [source:4].",data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf,data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf
What average latency was observed?,54.6 seconds per query.,1.948,1.293,The average latency observed was 54.6 seconds [source: data\RA_FSM_Paper 2.pdf].,The average latency observed was 54.6 seconds [source:RA_FSM_Paper].,data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf,data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf
What is the mean cost per query?,$0.017.,2.199,2.308,The mean cost per query is $0.017 [source: data\RA_FSM_Paper 2.pdf].,The mean cost per query is $0.017 [source: data\RA_FSM_Paper 2.pdf].,data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf,data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf
What is citation F1 achieved by RA–FSM?,0.523 overall and 0.562 on confident answers.,1.503,2.232,I don't know.,The citation F1 achieved by RA–FSM is 0.523 overall and 0.562 on answered items [source: data\RA_FSM_Paper 2.pdf].,data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf,data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf
How many retries are allowed per question?,Up to five unsuccessful attempts before aborting.,2.052,1.344,The system allows up to five retries per question if it does not reach high confidence in the answer [source: data\RA_FSM_Paper 2.pdf].,I don't know.,data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf,data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf
How does RA–FSM compare to baseline models?,It outperforms ungated fast drafts and vanilla GPT models in correctness and citation fidelity.,3.482,4.021,"RA–FSM demonstrates several advantages over baseline models, particularly in terms of handling boundary conditions and providing more defensible evidence use. It explores beyond the capabilities of a strong Notebook LM (NLM) while incurring tunable latency and cost overheads. The design of RA–FSM emphasizes transparent and auditable answers, making it suitable for high-stakes technical work. However, it introduces additional latency and cost compared to a vanilla, single-pass assistant due to features like confidence checks and targeted retrieval, which are tunable based on retrieval depth and reasoning level [source: data\RA_FSM_Paper 2.pdf].","RA–FSM demonstrates several advantages over baseline models, including a strong Notebook LM (NLM) and a vanilla (Default GPT API call) single-pass baseline. It shows stronger boundary-condition handling and more defensible evidence use. Coverage and novelty analyses indicate that RA–FSM explores beyond the NLM while incurring tunable latency and cost overheads. Specifically, it has smaller coverage gaps for short factual prompts and produces many items that the NLM baseline does not, reflecting its ability to decompose questions and utilize targeted retrieval effectively. In blinded A/B reviews, domain experts preferred RA–FSM over both baseline models, highlighting its effectiveness in interactive research assistance [source: data\RA_FSM_Paper 2.pdf].",data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf,data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf
What is ECE in calibration metrics?,"Expected Calibration Error, measuring the accuracy of confidence estimates.",2.877,2.234,"ECE stands for Expected Calibration Error. It is a metric used to evaluate the calibration of confidence scores in predictive models, where lower values indicate better calibration. In the context provided, raw scores were found to be overconfident with an ECE of 0.325, but after isotonic regression, the ECE was reduced to 0.164, indicating improved calibration [source: data\RA_FSM_Paper 2.pdf].","ECE stands for Expected Calibration Error, which is a metric used to evaluate the calibration of probabilistic predictions. It measures the difference between predicted probabilities and the actual outcomes, with lower values indicating better calibration. In the context provided, raw scores had an ECE of 0.325, which was improved to 0.164 through isotonic regression, indicating a reduction in calibration error [source: data\RA_FSM_Paper 2.pdf].",data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf,data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf
How did isotonic regression affect ECE?,It reduced ECE from 0.325 to 0.164.,1.849,1.551,"Isotonic regression halved the calibration error, reducing the Expected Calibration Error (ECE) from 0.325 to 0.164 [source: data\RA_FSM_Paper 2.pdf].","Isotonic regression halved the calibration error, reducing the Expected Calibration Error (ECE) from 0.325 to 0.164 [source: data\RA_FSM_Paper 2.pdf].",data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf,data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf
What does 'AURC' measure?,"Area Under the Risk Curve, related to confidence calibration.",1.767,1.342,AURC measures the ranking quality of the answers provided by the system. It is a metric used to evaluate how well the system ranks its outputs in terms of confidence and correctness [source: data\RA_FSM_Paper 2.pdf].,I don't know.,data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf,data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf
What is the average input token count?,"About 9,304 tokens per query.",1.696,1.923,The average input token count is 9.3k tokens [source:RA_FSM_Paper].,The average input token count is 9.3k tokens [source:<short>].,data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf,data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf
