Question,Answer,t_dense,t_hybrid,ans_dense,ans_hybrid,src_dense,src_hybrid
What is the purpose of the dual-store ingestion design?,It maintains a vector index for semantic retrieval and a relational table for numerical analysis.,3.337,3.529,"The purpose of the dual-store ingestion design is to maintain two types of data storage: a vector index for semantic retrieval and a relational metrics table for numeric/spec fields extracted from documents. This allows queries to ground prose and verify numeric/spec constraints in the same loop, facilitating both semantic retrieval and quantitative analysis in a single transaction [source: data\RA_FSM_Paper 2.pdf].","The dual-store ingestion design serves to maintain both a vector index for semantic retrieval and a relational metrics table for numeric and specification fields extracted from documents. This allows queries to ground prose and verify numeric or specification constraints within the same processing loop, enhancing the system's ability to provide accurate and contextually relevant information [source:A.6].",data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf,data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf
Which service is used for PDF parsing?,A self-hosted GROBID service that converts PDFs into TEI-XML.,3.701,1.657,The service used for PDF parsing is GROBID [source: data\RA_FSM_Paper 2.pdf].,"The service used for PDF parsing is GROBID, which processes accessible PDFs and returns full-text TEI-XML [source:A.6].",data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf,data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf
What happens if a document fails parsing?,It is routed to a 'Needs-Manual-Fix' state and added to the Missing-List.,2.784,3.393,"If a document fails parsing, such as due to a malformed PDF or a GROBID exception, it is routed to a Needs-Manual-Fix state. Additionally, pay-walled and parse-failed papers are consolidated into a Missing-List [source:RA_FSM_Paper 2].","If a document fails parsing, such as due to a malformed PDF or a GROBID exception, it is routed to a ""Needs-Manual-Fix"" state. Additionally, both pay-walled and parse-failed papers are consolidated into a ""Missing-List"" [source:RA_FSM_Paper 2].",data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf,data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf
What is the benefit of a closed-world citation policy?,It ensures that all cited sources are verifiable and part of the session evidence.,3.692,3.316,"The benefit of a closed-world citation policy is that it ensures the final answer may only cite evidence that is verified and present in the session evidence table. This approach enhances citation fidelity by grounding answers in verifiable sources, which helps to reduce the risk of fabrication and improves the overall reliability of the information provided [source: data\RA_FSM_Paper 2.pdf].","The benefit of a closed-world citation policy is that it ensures the final answer may only cite (doc id, span id) pairs that are present in the session evidence table. This approach enhances citation fidelity by restricting references to verified evidence, thereby reducing the risk of citing unreliable or unverified sources. It also allows for the creation of an audit trail through a claim → evidence table, which can be used to track the sources of information and maintain accountability in the citation process [source: data\RA_FSM_Paper 2.pdf].",data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf,data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf
What metric measures fabricated references?,The fabricated-reference rate.,3.602,2.016,"The metric that measures fabricated references is the fabrication rate. This metric is part of the evaluation of the RA–FSM system, which aims to improve citation fidelity and calibration in scientific assistance [source: data\RA_FSM_Paper 2.pdf].","The metric that measures fabricated references is citation fidelity, which includes aspects such as fabrication rate and DOI-match [source: data\RA_FSM_Paper 2.pdf].",data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf,data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf
What is the purpose of the Confidence JSON schema?,It enforces structured outputs with defined confidence scores between 0 and 1.,2.787,1.334,"{
""confidence_score"": 0.0,
""confident"": false,
""reasoning"": ""The context does not provide information about the purpose of the Confidence JSON schema.""
}",I don't know.,data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf,data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf
What retrieval technique does RA–FSM use?,A FAISS HNSW vector index for text embeddings.,1.58,2.109,"RA–FSM uses a vector retrieval technique as part of its modular design, which is grounded in a deterministic citation pipeline [source: data\RA_FSM_Paper 2.pdf].","RA–FSM uses a vector retrieval technique, which is part of its modular design that includes a finite-state control loop for managing relevance, confidence, and knowledge [source: data\RA_FSM_Paper 2.pdf].",data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf,data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf
What database supports numerical queries?,A PostgreSQL relational table that stores normalized metrics keyed by DOI and date.,3.218,2.899,"The PostgreSQL relational store supports numerical queries, as it is used to upsert normalized metrics into a table keyed by DOI and publication date, enabling SQL-driven analyses [source: data\RA_FSM_Paper 2.pdf].","The relational store, which is a PostgreSQL table, supports numerical queries by storing normalized metrics keyed by DOI and publication date, enabling SQL-driven Pareto front and trend analyses [source: data\RA_FSM_Paper 2.pdf].",data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf,data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf
What language models are used in the FSM?,"GPT-4o-mini for Relevance, o4-mini for Confidence, and o3 for Knowledge.",2.53,3.967,The language models used in the FSM are gpt-4o-mini and o4-mini [source:RA_FSM_Paper].,"The FSM uses the following language models:

1. GPT-4o for Relevance: Evaluates whether the user question aligns with the research objectives.
2. GPT-o4-mini for Confidence: Determines whether the agent has sufficient internal knowledge to answer the question with high certainty.
3. GPT-o3 for Knowledge: Identifies knowledge gaps by formulating clarifying sub-questions and executing web searches to retrieve and contextualize external information [source:data\RA_FSM_Paper 2.pdf].",data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf,data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf
What ensures bounded iteration during reasoning?,A retry cap of five iterations.,3.276,3.43,"The structured control loop governed by the finite-state machine (FSM) ensures bounded iteration during reasoning. This loop includes transitions between checking question relevance, estimating confidence, decomposing the query, retrieving external information, answering, and optionally persisting the session state, which helps reduce hallucination risk and increases transparency in multi-turn question processing [source:RA_FSM_Paper].","Bounded iteration during reasoning is ensured by a retry cap that enforces a limit on the number of attempts the system can make to achieve high confidence in its answers. Specifically, the system allows for a maximum of five unsuccessful attempts before it exits the loop and informs the user that it could not reach a high confidence in the question [source: data\RA_FSM_Paper 2.pdf].",data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf,data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf
How does RA–FSM prevent hallucinations?,By grounding responses in retrieved evidence and enforcing deterministic citations.,2.925,4.044,"RA–FSM prevents hallucinations by wrapping generation in a finite-state control loop that includes Relevance, Confidence, and Knowledge. This modular approach filters out-of-scope queries, scores answerability, decomposes questions, and triggers retrieval only when necessary. Additionally, it employs a deterministic citation pipeline that improves citation fidelity and calibration, which helps ensure the accuracy of the information provided [source:RA_FSM_Paper].","RA–FSM prevents hallucinations by implementing a modular design that includes a finite-state control loop, which consists of Relevance, Confidence, and Knowledge stages. This structure helps filter out-of-scope queries, score answerability, decompose questions, and trigger retrieval only when necessary. Additionally, it employs a deterministic citation pipeline to ensure that sources are accurately cited, reducing the likelihood of mis-citations and hallucinations. The system also incorporates auto-abstain thresholds and red-team prompts to target misleading citations and near-miss evidence, further mitigating residual risks associated with hallucinations [source: data\RA_FSM_Paper 2.pdf].",data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf,data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf
What is the Confidence threshold for answering?,A confidence score of 0.75 or higher.,1.83,3.12,I don't know.,"The confidence threshold for answering is set at 0.5. At this threshold, the system answers 71.7% of questions and abstains on 28.3% [source:6.1].",data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf,data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf
What is 'self-evaluation' in the FSM?,The process of scoring answerability and revising responses until confidence is sufficient.,4.013,5.298,"In the FSM, 'self-evaluation' refers to a state where the system assesses its confidence in the answers it generates for each subtopic. It provides a per-subtopic confidence score, which can be discrete values (0, 0.25, 0.5, 0.75, 1). Based on this confidence assessment, the system decides whether to search online for additional information or to proceed with composing the final answer [source: data\RA_FSM_Paper 2.pdf].","In the FSM, 'self-evaluation' refers to a state where the system assesses the confidence of its answers for each subtopic. It uses a discrete confidence scale (0, .25, .5, .75, 1) to determine whether to search online for more information or to proceed with generating an answer. This process helps ensure that the system verifies subtopic coverage before moving on to the final answer generation stage [source: data\RA_FSM_Paper 2.pdf].",data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf,data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf
What are the six evaluation categories?,"Analytical reasoning, numerical analysis, methodological critique, comparative synthesis, factual extraction, and application design.",1.608,2.062,I don't know.,"The six evaluation categories are analytical reasoning, numerical analysis, methodological critique, comparative synthesis, factual extraction, and application design [source:4].",data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf,data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf
What average latency was observed?,54.6 seconds per query.,6.794,1.881,The average latency observed was 54.6 seconds [source: data\RA_FSM_Paper 2.pdf].,The average latency observed was 54.6 seconds [source: data\RA_FSM_Paper 2.pdf].,data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf,data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf
What is the mean cost per query?,$0.017.,4.13,2.023,The mean cost per query is $0.017 [source: data\RA_FSM_Paper 2.pdf].,The mean cost per query is $0.017 [source: data\RA_FSM_Paper 2.pdf].,data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf,data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf
What is citation F1 achieved by RA–FSM?,0.523 overall and 0.562 on confident answers.,1.557,1.864,I don't know.,The mean semantic F1 achieved by RA–FSM is 0.523 overall and 0.562 on answered items [source: data\RA_FSM_Paper 2.pdf].,data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf,data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf
